[2025-06-24 16:26:50] htttps://www.google.com - Invalid Link: URL format is incorrect.
[2025-06-24 16:27:02] www.google.com - Invalid Link: URL format is incorrect.
[2025-06-24 16:27:02] www.google.com - Invalid Link: URL format is incorrect.
[2025-06-24 16:27:02] www.google.com - Invalid Link: URL format is incorrect.
[2025-06-24 16:27:20] https://chatgpt.com/c/685a83fb-e8b4-8010-9e79-0f073523b7b5 - Safe-looking URL: No immediate phishing indicators found.
[2025-06-24 16:29:53] https://chatgpt.com/c/685a83fb-e8b4-8010-9e79-0f073523b7b5 - Safe-looking URL: No immediate phishing indicators found.
[2025-06-24 16:30:41] https://www.ukfcet.ac.in/read-news.php?id=%3Cimg%20src=x%20onerror=alert(1)%3E - Safe-looking URL: No immediate phishing indicators found.
[2025-06-24 16:30:42] https://www.ukfcet.ac.in/read-news.php?id=%3Cimg%20src=x%20onerror=alert(1)%3E - Safe-looking URL: No immediate phishing indicators found.
[2025-06-24 16:30:45] https://www.ukfcet.ac.in/read-news.php?id=%3Cimg%20src=x%20onerror=alert(1)%3E - Safe-looking URL: No immediate phishing indicators found.
[2025-06-24 16:30:45] https://www.ukfcet.ac.in/read-news.php?id=%3Cimg%20src=x%20onerror=alert(1)%3E - Safe-looking URL: No immediate phishing indicators found.
[2025-06-24 16:30:50] https://www.ukfcet.ac.in/read-news.php?id=%3Cimg%20src=x%20onerror=alert(1)%3E - Safe-looking URL: No immediate phishing indicators found.
[2025-06-24 16:31:22] https://www.youtube.com/ - Safe-looking URL: No immediate phishing indicators found.
[2025-06-24 16:33:26] http://www.youtube.login.com/ - Invalid Link: Could not fetch the page.
[2025-06-24 16:33:35] https://www.youtube.login.com/ - Invalid Link: Could not fetch the page.
[2025-06-24 16:33:36] https://www.youtube.login.com/ - Invalid Link: Could not fetch the page.
[2025-06-24 16:33:36] https://www.youtube.login.com/ - Invalid Link: Could not fetch the page.
[2025-06-24 16:33:46] http://www.youtube.com/ - Looks Suspicious: URL does not use HTTPS.
